L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12,L13,L14,L15,L16,L17,L18,L19,L20,L21,L22,L23,L24,L25,L26,L27,L28,L29,L30,L31,L32,L33,L34,L35,L36,L37,L38,L39,L40,L41,L42,L43,L44,L45,L46,L47,L48,L49,L50,L51,L52,L53,L54,L55,L56,L57,L58,L59,L60,L61,L62,L63,L64,L65,L66,L67,L68,L69,L70,L71,L72,L73,L74,L75,L76,L77,L78,L79,L80,L81,L82,L83,L84,L85,L86,L87,L88,L89,L90,L91,L92,L93,L94,L95,L96,L97,L98,L99,L100
1.2717,1.2634,1.2406,1.1953,1.1902,1.185,1.1799,1.169,1.1617,1.1589,1.1576,1.1554,1.1552,1.1551,1.1549,1.1531,1.1517,1.1508,1.1504,1.1504,1.1501,1.1498,1.1498,1.1497,1.149,1.1486,1.1482,1.1478,1.142,1.1414,1.1384,1.1371,1.137,1.1352,1.1351,1.1345,1.1324,1.1321,1.1314,1.1303,1.1291,1.1289,1.1288,1.1279,1.1261,1.1255,1.1252,1.125,1.1247,1.1247,1.1243,1.1238,1.1236,1.1235,1.1235,1.1228,1.122,1.1219,1.1214,1.1213,1.1203,1.1202,1.1201,1.1194,1.1192,1.1191,1.1191,1.119,1.119,1.1188,1.1187,1.1185,1.1185,1.1184,1.1183,1.1172,1.1167,1.1166,1.1165,1.1164,1.1163,1.1163,1.1157,1.1155,1.1149,1.1147,1.1145,1.1142,1.1141,1.1133,1.1132,1.1131,1.1129,1.1127,1.1127,1.1119,1.1117,1.1116,1.1109,1.1108
1.1631,1.1514,1.1498,1.1488,1.1441,1.1438,1.1432,1.1426,1.1422,1.1412,1.1408,1.1405,1.1404,1.14,1.1386,1.1372,1.137,1.1357,1.1331,1.133,1.1327,1.1325,1.1318,1.1317,1.1312,1.131,1.1306,1.1304,1.1294,1.1293,1.1291,1.1287,1.1283,1.1277,1.1262,1.1253,1.125,1.1247,1.1244,1.1239,1.1238,1.1237,1.1235,1.1233,1.1232,1.123,1.1225,1.1222,1.1222,1.1217,1.121,1.1207,1.1207,1.1206,1.1205,1.1204,1.1202,1.1199,1.1198,1.1196,1.1195,1.1193,1.1192,1.1191,1.1187,1.1186,1.1182,1.1173,1.1172,1.117,1.1168,1.1167,1.1164,1.1164,1.116,1.116,1.1159,1.1158,1.1158,1.1157,1.1153,1.1153,1.1152,1.1151,1.1151,1.115,1.115,1.1145,1.1145,1.1143,1.1142,1.1142,1.1138,1.1138,1.1137,1.1137,1.1136,1.1135,1.1134,1.1132
