L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12,L13,L14,L15,L16,L17,L18,L19,L20,L21,L22,L23,L24,L25,L26,L27,L28,L29,L30,L31,L32,L33,L34,L35,L36,L37,L38,L39,L40,L41,L42,L43,L44,L45,L46,L47,L48,L49,L50,L51,L52,L53,L54,L55,L56,L57,L58,L59,L60,L61,L62,L63,L64,L65,L66,L67,L68,L69,L70,L71,L72,L73,L74,L75,L76,L77,L78,L79,L80,L81,L82,L83,L84,L85,L86,L87,L88,L89,L90,L91,L92,L93,L94,L95,L96,L97,L98,L99,L100
1.1655,1.1644,1.1636,1.1596,1.1543,1.1501,1.15,1.1494,1.1484,1.1438,1.1432,1.1423,1.1418,1.1403,1.1402,1.1392,1.1372,1.1372,1.135,1.1345,1.1326,1.1322,1.1319,1.1317,1.1316,1.1314,1.1304,1.1284,1.128,1.1275,1.1267,1.1257,1.1246,1.1244,1.1242,1.1237,1.1234,1.1233,1.1232,1.1228,1.1227,1.1226,1.1225,1.1222,1.1214,1.1209,1.1208,1.1207,1.1203,1.1201,1.1199,1.1189,1.1185,1.1181,1.1176,1.1174,1.1172,1.1169,1.1166,1.1156,1.1155,1.1151,1.1151,1.1149,1.1146,1.1145,1.1144,1.1143,1.1136,1.1133,1.1133,1.1131,1.1131,1.1125,1.1121,1.1118,1.1117,1.1115,1.1114,1.1112,1.1112,1.1111,1.111,1.1109,1.1109,1.1102,1.1101,1.11,1.1098,1.1097,1.1095,1.1094,1.1092,1.1091,1.1088,1.1086,1.1084,1.1083,1.1083,1.1082
1.1993,1.1582,1.1379,1.1299,1.1287,1.1281,1.1257,1.1228,1.1222,1.1216,1.1209,1.1194,1.1189,1.1189,1.1187,1.1174,1.1166,1.1165,1.1164,1.1163,1.1153,1.1143,1.114,1.1137,1.1132,1.1129,1.1121,1.1119,1.1105,1.1104,1.1098,1.1091,1.1083,1.1082,1.1078,1.1062,1.1062,1.1056,1.1052,1.1049,1.1048,1.1048,1.1042,1.1039,1.1038,1.1037,1.1037,1.1033,1.1033,1.1032,1.1028,1.1016,1.1016,1.1013,1.1011,1.101,1.101,1.101,1.101,1.1009,1.1008,1.1007,1.1003,1.1,1.0998,1.0996,1.0996,1.099,1.099,1.0986,1.0984,1.0976,1.0974,1.0971,1.097,1.0967,1.0966,1.0965,1.0964,1.0962,1.096,1.0959,1.0957,1.0957,1.0953,1.0952,1.095,1.095,1.0946,1.0945,1.0944,1.0944,1.0942,1.0942,1.0941,1.0939,1.0935,1.0934,1.0932,1.093
1.216,1.169,1.1673,1.1664,1.1645,1.164,1.1623,1.1584,1.156,1.1551,1.1548,1.1538,1.1494,1.1491,1.1477,1.1446,1.1413,1.1403,1.1393,1.1388,1.1379,1.1355,1.1346,1.1335,1.1327,1.1325,1.1324,1.1319,1.1318,1.1318,1.1315,1.1301,1.129,1.1287,1.1286,1.1279,1.1237,1.1236,1.1233,1.1232,1.1232,1.1226,1.1223,1.122,1.1213,1.1205,1.1202,1.1197,1.1195,1.1194,1.119,1.1187,1.1186,1.1183,1.1167,1.1166,1.1165,1.1164,1.1161,1.116,1.1158,1.1154,1.1143,1.1142,1.1142,1.114,1.114,1.114,1.1139,1.1131,1.112,1.1117,1.1115,1.1115,1.1111,1.111,1.1109,1.1109,1.1105,1.1101,1.1098,1.1096,1.1093,1.1092,1.109,1.109,1.1087,1.1083,1.1082,1.1081,1.1079,1.1071,1.1066,1.1066,1.1065,1.1064,1.1063,1.1063,1.1061,1.106
