L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12,L13,L14,L15,L16,L17,L18,L19,L20,L21,L22,L23,L24,L25,L26,L27,L28,L29,L30,L31,L32,L33,L34,L35,L36,L37,L38,L39,L40,L41,L42,L43,L44,L45,L46,L47,L48,L49,L50,L51,L52,L53,L54,L55,L56,L57,L58,L59,L60,L61,L62,L63,L64,L65,L66,L67,L68,L69,L70,L71,L72,L73,L74,L75,L76,L77,L78,L79,L80,L81,L82,L83,L84,L85,L86,L87,L88,L89,L90,L91,L92,L93,L94,L95,L96,L97,L98,L99,L100
1.2105,1.2038,1.2019,1.1818,1.1747,1.1739,1.1667,1.1655,1.1639,1.1528,1.1523,1.1512,1.1497,1.1393,1.1391,1.1336,1.1303,1.1292,1.1267,1.1261,1.1242,1.1232,1.1223,1.1207,1.119,1.1167,1.1161,1.116,1.1142,1.1142,1.1141,1.1136,1.1136,1.1131,1.1118,1.1108,1.1098,1.1096,1.1095,1.1095,1.1084,1.1084,1.1071,1.1071,1.1071,1.1069,1.1061,1.1056,1.1053,1.1051,1.1042,1.1036,1.103,1.103,1.1027,1.1027,1.1026,1.1017,1.1016,1.1016,1.1014,1.1011,1.1,1.1,1.0993,1.0991,1.0983,1.0979,1.0973,1.0972,1.096,1.0959,1.0959,1.0954,1.0947,1.0933,1.0933,1.0932,1.0924,1.0912,1.0906,1.09,1.09,1.0899,1.0894,1.0893,1.0887,1.0879,1.0877,1.0877,1.0871,1.087,1.087,1.0868,1.0868,1.0867,1.0866,1.0866,1.0861,1.086
1.2045,1.2014,1.1891,1.1854,1.1647,1.1544,1.1536,1.1503,1.1463,1.1394,1.1382,1.1371,1.1355,1.1352,1.1344,1.1335,1.1333,1.1321,1.1316,1.1308,1.1306,1.1303,1.1277,1.1264,1.1261,1.1258,1.1257,1.1243,1.1236,1.1229,1.1217,1.1213,1.1199,1.1178,1.1173,1.1173,1.1173,1.1168,1.1168,1.1164,1.1164,1.1161,1.1159,1.1142,1.1136,1.1133,1.1114,1.1111,1.1107,1.1106,1.11,1.11,1.1096,1.1091,1.1087,1.1071,1.1066,1.1062,1.1056,1.1051,1.1044,1.1042,1.1039,1.1038,1.1031,1.1027,1.1026,1.1026,1.1022,1.1016,1.1015,1.1012,1.1011,1.1007,1.1004,1.1003,1.1,1.1,1.0986,1.0985,1.0977,1.0975,1.0973,1.0964,1.0964,1.0963,1.0959,1.0958,1.0957,1.0957,1.0956,1.0948,1.0948,1.0945,1.0944,1.0938,1.0933,1.0929,1.0925,1.0916
1.2076,1.2048,1.1781,1.1722,1.1519,1.148,1.1478,1.1433,1.1408,1.1384,1.1384,1.1347,1.1335,1.1333,1.1317,1.1308,1.1282,1.1278,1.1265,1.125,1.125,1.1237,1.1233,1.1232,1.1227,1.1226,1.1225,1.1222,1.1222,1.1219,1.1199,1.1196,1.1188,1.1185,1.1181,1.1178,1.1168,1.1167,1.1157,1.1142,1.114,1.1128,1.1125,1.1111,1.1098,1.1074,1.107,1.1059,1.1057,1.1051,1.1051,1.1039,1.1027,1.1025,1.1022,1.1018,1.1013,1.1009,1.1006,1.1004,1.1004,1.1003,1.1,1.0996,1.0995,1.0994,1.0986,1.098,1.098,1.0977,1.0976,1.0975,1.0971,1.097,1.0968,1.0965,1.0965,1.096,1.096,1.0956,1.0952,1.095,1.0947,1.0943,1.0938,1.0935,1.0929,1.0927,1.0924,1.0924,1.0923,1.0922,1.0917,1.0917,1.0916,1.0914,1.0913,1.0912,1.0909,1.0909
